감자계란샐러드;P;삶은감자,삶은달걀,마요네즈;1:+3,2:+10,3:+5,6:+25;122,82,26
감자샐러드;P;삶은감자,양파,소금;2:+4,3:+5,6:+19;160,51,19
개과자;P;초코칩쿠키,버터비스킷;1:+2,2:+2,6:+8;138,92,0
계란샐러드;P;삶은달걀,마요네즈,소금;1:+3,2:+10,6:+20;173,39,18
고기양념;P;소금,후추,마늘;0:요리재료;23,23,184
과일모듬;P;딸기,사과,나무열매;3:+3,6:+25;106,69,55
과일샐러드;P;과일모듬,마요네즈,설탕;2:+5,3:+3,6:+30;174,33,23
구운콩물;P;구운콩가루,물;0:요리재료;173,57,0
그라니타;P;과일모듬,얼음,설탕;5:23,7:27,0:글루아스 연대기 3부 컷씬;115,82,33
껍질벗긴콩물;P;껍질벗긴콩가루,물;0:요리재료;173,57,0
나레스케익세트;P;코코넛파운드케익,가토오쇼콜라,레어치즈케익;3:+5,6:+45;114,68,48
드래곤의살덩어리;p;드래곤의살점,드래곤의살점,드래곤의살점;0:요리재료;77,77,77
딸기우유;P;우유,딸기,설탕;2:+6,6:+25;150,71,9
라인슬링;P;라인산진,레몬주스,설탕;1:+20,2:-8,3:-8,4:+15,6:+38;43,167,20
레드선라이즈;P;브리흐네위스키,오렌지주스,설탕;1:+20,2:-10,3:-10,4:+15,6:+42;58,140,32
레몬주스;P;레몬,나무열매,설탕;2:+5,5:+5,6:+10;137,69,24
레몬즙;P;레몬,나무열매,물;0:요리재료;196,22,12
루트라칵테일세트;P;라인슬링,스크류드라이버,레드선라이즈;1:+20,3:+5;90,70,70
마끼아또;P;에스프레소,스팀밀크,생크림;1:+15,6:+10;70,80,80
마요네즈;P;달걀,올리브유,소금;0:요리재료;166,45,19
메기야채샐러드;P;메기,야채모듬,마요네즈;2:+20,6:+30,7:+30;138,56,36
물에불린콩;P;콩,물,소금;0:요리재료;160,51,19
물에불린콩물;P;물에불린콩가루,물;0:요리재료;173,57,0
발레스화이어;P;발레스위스키,얼음;1:+38,2:-15,3:-15,4:+25,6:+30;174,56,0
버섯카나페;P;개암버섯,치즈조각,생크림;3:+3,4:+10,6:+18;114,68,48
베이컨과감자개밥;P;감자,베이컨;1:+6,3:-6,6:+10;138,92,0
베지터블카나페;P;당근,삶은감자,레몬;3:-9,4:+12,6:+25,10:7;114,92,24
브리흐네락스;P;얼음,브리흐네위스키,레몬;1:+25,2:-10,3:-10,4:+15,6:+45;132,89,9
빙어무침;P;빙어,야채볶음;1:+5,5:+15,6:+20,9:+15;95,135,0
빵가루;P;식빵;0:요리재료;230,0,0
사과주스;P;사과,나무열매,설탕;1:+5,3:+5,6:+12;167,43,20
새우개밥;P;밥,새우,소금;1:+8,3:-8,6:+14;138,70,22
새우부르스케타;P;빵,야채모듬,새우;5:23,6:10,7:10,8:10,0:글루아스 연대기 1부 컷씬;90,93,47
샐러리샐러드;P;샐러리,당근,양배추;8:+12,4:+7,2:-15;81,62,87
송편;P;송편만들기키트;1:+10,3:+15;230,0,0
스크류드라이버;P;브리흐네위스키,오렌지주스,레몬;1:+28,2:-8,3:-8,4:+18,6:+42;42,179,9
아브네아잉어채소절임;P;아브네아잉어,야채모듬,소금;2:+5,6:+15,7:+10;126,68,36
아이스마끼아또;P;마끼아또,얼음,생크림;1:+25,6:+20;113,48,69
아이스카페모카;P;카페모카,얼음,생크림;1:+20,2:+30,3:+30;138,47,45
야채모듬;P;샐러리,당근,양파;0:요리재료;80,70,80
에그캐비어;P;철갑상어,계란프라이,치즈조각;1:+10,5:+11,6:+17;70,104,56
에스프레소마끼아또;P;에스프레소,스팀밀크,물;4:+5,5:+5,6:+5;93,93,44
오렌지주스;P;오렌지,나무열매,설탕;2:+5,5:+5,6:+10;167,41,22
초콜릿우유;P;초콜릿,우유,설탕;1:+5,2:+5,6:+15;95,95,40
추억의도시락;P;밥,계란프라이,쿠킹포션;7:+20,2:+15,10:4;115,68,47
카레페이스트;P;카레가루,감자,고기조각;0:요리재료;160,36,34
카멜리아슬링;P;동백열매,물,발레스위스키;1:+10,2:-3,3:-3,4:+10,6:+18;67,24,139
카카오초콜릿케익;P;카카오,밀가루빵반죽,설탕;0:요리;76,78,76
카페모카;P;에스프레소,재료초콜릿,스팀밀크;1:+10,2:+20,3:+20;91,47,92
카푸치노;P;에스프레소,스팀밀크,우유;4:+20;68,94,68
캐비어샐러드;P;청상아리,과일모듬,마요네즈;2:+30,7:+30;42,168,20
캐비어카나페;P;철갑상어,빵,나무열매;0:효과없음;92,128,10
크리스마스 케이크;P;케이크만들기키트;0:요리;230,0,0
클럽샌드위치;P;식빵,토마토,양배추;3:+35;114,46,70
키스온더립스;P;브리흐네위스키,레몬주스,설탕;1:+26,2:-8,3:-8,4:+18,6:+45;126,73,31
타라식소시지샌드위치;P;마늘빵,소시지,양배추;3:+10,2:+10;81,81,68
토마토바질샐러드;P;토마토,바질,삶은감자;2:+5,3:-8,4:+5,10:7;114,71,45
필리아쿠키세트;P;버섯쿠키,코코넛쿠키,초코칩쿠키;3:+5,4:+20;92,92,46
할로윈포장캔디;P;할로윈호박사탕,할로윈유령젤리,할로윈호박젤리;0:요리;68,81,81
할로윈포장쿠키;P;할로윈모자쿠키,할로윈별쿠키,할로윈부엉이쿠키;0:요리;68,81,81
